"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID31_CampusCourseFeesResKey","UID4_CoursesOnCampusResKey","E525_CampusSuburb","E644_CampusCountryCode","E559_CampusPostcode","Campuses_E609_EffectiveFromDate","UID5_CoursesResKey","E307_CourseCode","E536_CourseFeesCode","E495_IndicativeStudentContributionCSP","E496_IndicativeTuitionFeeDomesticFP","E609_EffectiveFromDate"
35,1055,"HEP",38527,42143,"CRAWLEY",1101,"6009","01/01/1999",101246,"DU0011",1,"8168.00","NULL","01/01/2012"
35,1055,"HEP",38511,42127,"CRAWLEY",1101,"6009","01/01/1999",115761,"922101",1,"7700.00","NULL","01/01/2020"
35,1055,"HEP",38560,42127,"CRAWLEY",1101,"6009","01/01/1999",115761,"922101",1,"8021.00","NULL","01/11/2021"
35,1055,"HEP",65478,42127,"CRAWLEY",1101,"6009","01/01/1999",115761,"922101",1,"8301.00","NULL","01/11/2022"
35,1055,"HEP",38635,42184,"CRAWLEY",1101,"6009","01/01/1999",99273,"215501",2,"NULL","36400.00","01/01/2016"
35,1055,"HEP",38650,42184,"CRAWLEY",1101,"6009","01/01/1999",99273,"215501",2,"NULL","36946.00","01/11/2021"
35,1055,"HEP",65557,42184,"CRAWLEY",1101,"6009","01/01/1999",99273,"215501",2,"NULL","33799.50","01/11/2022"
35,1055,"HEP",65724,49304,"ALBANY",1101,"6330","01/01/1999",115790,"BH0012",1,"12189.00","NULL","01/01/2020"
35,1055,"HEP",65729,49304,"ALBANY",1101,"6330","01/01/1999",115790,"BH0012",1,"12352.00","NULL","01/11/2022"
35,1055,"HEP",89620,55406,"CRAWLEY",1101,"6009","01/01/1999",143756,"UWC102",1,"8888.00","NULL","01/11/2022"
35,1055,"HEP",18683,21579,"ALBANY",1101,"6330","01/01/1999",10815,"501103",0,"NULL","NULL","01/01/2013"
35,1055,"HEP",63604,21579,"ALBANY",1101,"6330","01/01/1999",10815,"501103",0,"NULL","NULL","01/01/2021"
35,1055,"HEP",25876,37189,"CRAWLEY",1101,"6009","01/01/1999",10428,"308201",0,"NULL","NULL","01/01/2005"
35,1055,"HEP",25914,37228,"NORTHAM",1101,"6401","01/01/1999",12680,"9000N3",0,"NULL","NULL","01/06/2005"
35,1055,"HEP",65581,37228,"NORTHAM",1101,"6401","01/01/1999",12680,"9000N3",2,"NULL","20770.00","01/11/2022"
35,1055,"HEP",26032,37355,"CRAWLEY",1101,"6009","01/01/1999",115780,"104701",0,"NULL","NULL","01/01/2020"
35,1055,"HEP",38469,37355,"CRAWLEY",1101,"6009","01/01/1999",115780,"104701",1,"10172.00","NULL","01/11/2021"
35,1055,"HEP",65621,37355,"CRAWLEY",1101,"6009","01/01/1999",115780,"104701",1,"10172.00","NULL","01/11/2022"
35,1055,"HEP",26075,37398,"CRAWLEY",1101,"6009","01/01/1999",9579,"107302",0,"NULL","NULL","01/01/2005"
35,1055,"HEP",26100,37423,"DERBY",1101,"6728","01/01/1999",12785,"901102",0,"NULL","NULL","01/01/2005"
35,1055,"HEP",26132,37453,"CRAWLEY",1101,"6009","01/01/1999",78821,"007101HH",0,"NULL","NULL","01/07/2012"
35,1055,"HEP",32530,38400,"SINGAPORE EDUCATION",5205,"NULL","01/01/1999",130639,"305802",3,"3700.00","23000.00","01/01/2021"
35,1055,"HEP",38451,38400,"SINGAPORE EDUCATION",5205,"NULL","01/01/1999",130639,"305802",3,"4092.00","23345.00","01/11/2021"
35,1055,"HEP",18701,21597,"ALBANY",1101,"6330","01/01/1999",8924,"0009P1",0,"NULL","NULL","01/06/2005"
35,1055,"HEP",25848,37160,"CRAWLEY",1101,"6009","01/01/1999",52472,"411801",0,"NULL","NULL","01/01/2005"
35,1055,"HEP",25861,37173,"CRAWLEY",1101,"6009","01/01/1999",79171,"325101",0,"NULL","NULL","01/01/2013"
35,1055,"HEP",25897,37210,"CRAWLEY",1101,"6009","01/01/1999",115776,"507702",0,"NULL","NULL","01/07/2019"
35,1055,"HEP",25909,37223,"CRAWLEY",1101,"6009","01/01/1999",61391,"425901",0,"NULL","NULL","01/01/2009"
35,1055,"HEP",25926,37241,"NARROGIN",1101,"6312","01/01/1999",12680,"9000N3",0,"NULL","NULL","01/06/2005"
35,1055,"HEP",65603,37241,"NARROGIN",1101,"6312","01/01/1999",12680,"9000N3",2,"NULL","20770.00","01/11/2022"
35,1055,"HEP",25959,37274,"GERALDTON",1101,"6530","01/01/1999",115764,"918501",0,"NULL","NULL","01/01/2021"
35,1055,"HEP",25977,37292,"DERBY",1101,"6728","01/01/1999",12680,"9000N3",0,"NULL","NULL","01/06/2005"
35,1055,"HEP",65609,37292,"DERBY",1101,"6728","01/01/1999",12680,"9000N3",2,"NULL","20770.00","01/11/2022"
35,1055,"HEP",26019,37342,"ALBANY",1101,"6330","01/01/1999",130362,"BP0242",0,"NULL","NULL","01/01/2021"
35,1055,"HEP",38487,37342,"ALBANY",1101,"6330","01/01/1999",130362,"BP0242",1,"10469.00","NULL","01/11/2021"
35,1055,"HEP",65610,37342,"ALBANY",1101,"6330","01/01/1999",130362,"BP0242",1,"9247.00","NULL","01/11/2022"
35,1055,"HEP",77218,43184,"CRAWLEY",1101,"6009","01/01/1999",129611,"BH0111",1,"7426.00","NULL","01/11/2022"
35,1055,"HEP",43958,43201,"CRAWLEY",1101,"6009","01/01/1999",131880,"735302",1,"10246.00","NULL","01/01/2022"
35,1055,"HEP",65683,43201,"CRAWLEY",1101,"6009","01/01/1999",131880,"735302",1,"10000.00","NULL","01/11/2022"
35,1055,"HEP",52293,45439,"CRAWLEY",1101,"6009","01/01/1999",111697,"422701",2,"NULL","32100.00","01/01/2019"
35,1055,"HEP",52297,45439,"CRAWLEY",1101,"6009","01/01/1999",111697,"422701",2,"NULL","32581.50","01/11/2021"
