"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID3_CoursesOfStudyResKey","E533_CourseOfStudyCode","E394_CourseOfStudyName","UID5_CoursesResKey","E307_CourseCode","E308_CourseName","E596_StandardCourseDuration","E609_EffectiveFromDate","E610_EffectiveToDate"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",8711,"008301CL","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",8861,"008301DH","Doctor of Philosophy [Educ - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",8872,"008301EL","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",8873,"008301IH","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",8874,"008302DH","Doctor of Philosophy [Educ - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",8875,"008302EFH","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",8885,"008302IH","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",8934,"008301BL","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",8960,"008301AL","Doctor of Philosophy [ALVA - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",8994,"008301DL","Doctor of Philosophy [Educ - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",8995,"008301HH","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",8996,"008302BL","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",8997,"008302ECH","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",8998,"008302FL","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9007,"008302HH","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9051,"008301GH","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9052,"008302","Doctor of Philosophy","NULL","01/01/2006","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9053,"008302EAH","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9054,"008302EH","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9220,"008301GL","Doctor of Philosophy [L&PS - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9221,"008302AL","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9222,"008302EBH","Doctor of Philosophy [EC&MB - H]","NULL","01/01/2007","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9223,"008302EL","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9232,"008302GL","Doctor of Philosophy [L&PS - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9273,"008301FL","Doctor of Philosophy [Law - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9274,"008301IL","Doctor of Philosophy [N&AS - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9275,"008302DL","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9276,"008302EGH","Doctor of Philosophy [EC&MG - H]","NULL","01/01/2007","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9286,"008302IL","Doctor of Philosophy [N&AS - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9019,"008301EH","Doctor of Philosophy [EC&M - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9020,"008301HL","Doctor of Philosophy [M&D - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9021,"008302CL","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9022,"008302EDH","Doctor of Philosophy [EC&MD - H]","NULL","01/01/2007","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9023,"008302GH","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",9032,"008302HL","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",130302,"0083001H01","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",130303,"0083002L01","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",130304,"0083006H01","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",130305,"0083007L01","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",130306,"0083008L01","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",130307,"0083009L01","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",130308,"0083001H02","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",130309,"0083003H02","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",130310,"0083009L02","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",133592,"0083009H02","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",134596,"0083005H02","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",134598,"0083006L02","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",137585,"0083007L02","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",139585,"0083006H02","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1472,"00830","Doctor of Philosophy",140630,"0083001L02","Doctor of Philosophy","4.000","01/01/2005","NULL"
35,1055,"HEP",1473,"1000N","Non-Award (Arts)",9233,"1000N3","Non-Award (Arts)","NULL","01/01/2005","NULL"
35,1055,"HEP",1473,"1000N","Non-Award (Arts)",9064,"1000N2","Not for Degree (Arts)","NULL","01/01/2005","NULL"
35,1055,"HEP",1474,"1000P","Cross Institutional (Arts) Postgraduate",9008,"1000P2","Not for Degree (Arts)","NULL","01/01/2005","NULL"
35,1055,"HEP",1475,"10110","Bachelor of Arts",8886,"101101","Bachelor of Arts","3.000","01/01/2005","NULL"
35,1055,"HEP",1475,"10110","Bachelor of Arts",9287,"101102","Bachelor of Arts","3.000","01/01/2005","NULL"
35,1055,"HEP",1476,"1011H","Bachelor of Arts (Honours)",9234,"1011H2","Bachelor of Arts (Honours)","1.000","01/01/2005","NULL"
35,1055,"HEP",1476,"1011H","Bachelor of Arts (Honours)",9065,"1011H1","Bachelor of Arts (Honours)","NULL","01/01/2005","NULL"
35,1055,"HEP",1477,"10120","Bachelor of Music",9009,"101201","Bachelor of Music","NULL","01/01/2005","NULL"
35,1055,"HEP",1477,"10120","Bachelor of Music",9034,"101202","Bachelor of Music","4.000","01/01/2005","NULL"
35,1055,"HEP",1478,"10140","Bachelor of Psychology",8887,"101401","Bachelor of Psychology","NULL","01/01/2005","NULL"
35,1055,"HEP",1478,"10140","Bachelor of Psychology",9288,"101402","Bachelor of Psychology","1.000","01/01/2005","NULL"
35,1055,"HEP",1479,"10150","Bachelor of Social Work - Postgraduate",9066,"101502","Bachelor of Social Work - Postgraduate","NULL","01/01/2005","NULL"
35,1055,"HEP",1480,"10170","Bachelor of Letters",9235,"101701","Bachelor of Letters","NULL","01/01/2005","NULL"
35,1055,"HEP",1480,"10170","Bachelor of Letters",9010,"101702","Bachelor of Letters","2.000","01/01/2005","NULL"
35,1055,"HEP",1481,"1017H","Bachelor of Letters (Honours)",8888,"1017H2","Bachelor of Letters (Honours)","NULL","01/01/2005","NULL"
35,1055,"HEP",1481,"1017H","Bachelor of Letters (Honours)",9035,"1017H1","Bachelor of Letters (Honours)","NULL","01/01/2005","NULL"
35,1055,"HEP",1482,"10200","Bachelor of Arts (Asian Studies)",9289,"102001","Bachelor of Arts (Asian Studies)","NULL","01/01/2005","NULL"
35,1055,"HEP",1482,"10200","Bachelor of Arts (Asian Studies)",9067,"102002","Bachelor of Arts (Asian Studies)","3.000","01/01/2005","NULL"
35,1055,"HEP",1483,"1020H","Bachelor of Arts (Asian Studies) (Honours)",9236,"1020H1","Bachelor of Arts (Asian Studies) (Honours)","NULL","01/01/2005","NULL"
35,1055,"HEP",1484,"1021H","Bachelor of Arts (European Studies) (Honours)",9011,"1021H1","Bachelor of Arts (European Studies) (Honours)","NULL","01/01/2005","NULL"
35,1055,"HEP",1484,"1021H","Bachelor of Arts (European Studies) (Honours)",9036,"1021H2","Bachelor of Arts (European Studies) (Honours)","NULL","01/01/2005","NULL"
35,1055,"HEP",1485,"10210","Bachelor of Arts (European Studies)",9298,"102101","Bachelor of Arts (European Studies)","3.000","01/01/2005","NULL"
35,1055,"HEP",1485,"10210","Bachelor of Arts (European Studies)",9101,"102102","Bachelor of Arts (European Studies)","NULL","01/01/2005","NULL"
35,1055,"HEP",1486,"1024H","Bachelor of Social Work - Undergraduate (Four Year) (Honours)",9172,"1024H2","Bachelor of Social Work - Undergraduate (Four Year) (Honours)","NULL","01/01/2010","NULL"
35,1055,"HEP",1486,"1024H","Bachelor of Social Work - Undergraduate (Four Year) (Honours)",9245,"1024H1","Bachelor of Social Work - Undergraduate (Four Year) (Honours)","NULL","01/01/2005","NULL"
35,1055,"HEP",1487,"10240","Bachelor of Social Work - Undergraduate (Four Year)",9299,"102403","Bachelor of Social Work - Undergraduate (Four Year)","NULL","01/01/2013","NULL"
35,1055,"HEP",1487,"10240","Bachelor of Social Work - Undergraduate (Four Year)",9146,"102401","Bachelor of Social Work - Undergraduate (Four Year)","NULL","01/01/2005","NULL"
35,1055,"HEP",1487,"10240","Bachelor of Social Work - Undergraduate (Four Year)",8898,"102402","Bachelor of Social Work - Undergraduate (Four Year)","4.000","01/01/2005","NULL"
35,1055,"HEP",1488,"10280","Graduate Certificate in Music Education",9102,"102801","Graduate Certificate in Music Education","NULL","01/01/2005","NULL"
35,1055,"HEP",1488,"10280","Graduate Certificate in Music Education",9246,"102802","Graduate Certificate in Music Education","NULL","01/01/2005","NULL"
35,1055,"HEP",1489,"10370","Graduate Diploma in Advanced Social Work",9147,"103703","Graduate Diploma in Advanced Social Work","NULL","01/01/2013","NULL"
35,1055,"HEP",1489,"10370","Graduate Diploma in Advanced Social Work",9173,"103702","Graduate Diploma in Advanced Social Work","NULL","01/01/2005","NULL"
35,1055,"HEP",1490,"10380","Graduate Diploma in Music Education",9300,"103802","Graduate Diploma in Music Education","NULL","01/01/2005","NULL"
35,1055,"HEP",1490,"10380","Graduate Diploma in Music Education",8899,"103801","Graduate Diploma in Music Education","NULL","01/01/2005","NULL"
35,1055,"HEP",1491,"10490","Higher Degree by Research Preliminary - Arts",8900,"104901DH","Higher Degree by Research Preliminary [Educ - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1491,"10490","Higher Degree by Research Preliminary - Arts",8901,"104901GL","Higher Degree by Research Preliminary [L&PS - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1491,"10490","Higher Degree by Research Preliminary - Arts",8910,"104902","Higher Degree by Research Preliminary - Arts","1.000","01/01/2013","NULL"
35,1055,"HEP",1491,"10490","Higher Degree by Research Preliminary - Arts",9301,"104901DL","Higher Degree by Research Preliminary [Educ - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1491,"10490","Higher Degree by Research Preliminary - Arts",9302,"104901HH","Higher Degree by Research Preliminary [M&D - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1491,"10490","Higher Degree by Research Preliminary - Arts",9311,"104902BL","Higher Degree by Research Preliminary [AHSS - L]","NULL","01/01/2013","NULL"
35,1055,"HEP",1491,"10490","Higher Degree by Research Preliminary - Arts",9247,"104901AL","Higher Degree by Research Preliminary [ALVA - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1491,"10490","Higher Degree by Research Preliminary - Arts",9248,"104901EL","Higher Degree by Research Preliminary [EC&M - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1491,"10490","Higher Degree by Research Preliminary - Arts",9257,"104901HL","Higher Degree by Research Preliminary [M&D - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1491,"10490","Higher Degree by Research Preliminary - Arts",9174,"104901BL","Higher Degree by Research Preliminary [AHSS - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1491,"10490","Higher Degree by Research Preliminary - Arts",9175,"104901FL","Higher Degree by Research Preliminary [Law - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1491,"10490","Higher Degree by Research Preliminary - Arts",9184,"104901IH","Higher Degree by Research Preliminary [N&AS - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1491,"10490","Higher Degree by Research Preliminary - Arts",9148,"104901CL","Higher Degree by Research Preliminary [E&C - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1491,"10490","Higher Degree by Research Preliminary - Arts",9149,"104901GH","Higher Degree by Research Preliminary [L&PS - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1491,"10490","Higher Degree by Research Preliminary - Arts",9158,"104901IL","Higher Degree by Research Preliminary [N&AS - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1491,"10490","Higher Degree by Research Preliminary - Arts",9103,"104901","Higher Degree by Research Preliminary","NULL","01/01/2006","NULL"
35,1055,"HEP",1491,"10490","Higher Degree by Research Preliminary - Arts",9104,"104901EH","Higher Degree by Research Preliminary [EC&M - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1492,"10410","Master of Arts - Preliminary",9114,"104101","Master of Arts - Preliminary","NULL","01/01/2006","NULL"
35,1055,"HEP",1492,"10410","Master of Arts - Preliminary",9115,"104101EH","Master of Arts - Preliminary [EC&M - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1492,"10410","Master of Arts - Preliminary",9116,"104101HL","Master of Arts - Preliminary [M&D - L]","NULL","01/01/2005","NULL"
