"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID40_CoursesOnCampusTACResKey","UID4_CoursesOnCampusResKey","E557_TACOfferCode"
35,1055,"HEP",23057,54663,TRUE
35,1055,"HEP",23058,54664,TRUE
35,1055,"HEP",23059,54665,TRUE
35,1055,"HEP",23060,54666,TRUE
35,1055,"HEP",23061,54667,TRUE
35,1055,"HEP",23062,54668,TRUE
35,1055,"HEP",23063,54669,TRUE
35,1055,"HEP",23064,54670,TRUE
35,1055,"HEP",23065,54671,TRUE
35,1055,"HEP",23066,54673,TRUE
35,1055,"HEP",23067,54674,TRUE
35,1055,"HEP",23068,54675,TRUE
35,1055,"HEP",23302,55821,TRUE
35,1055,"HEP",23303,55822,TRUE
