"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID3_CoursesOfStudyResKey","E533_CourseOfStudyCode","UID5_CoursesResKey","E307_CourseCode","E394_CourseOfStudyName","UID48_CourseFieldsOfEducationResKey","E461_FieldOfEducationCode","E462_FieldOfEducationSupplementaryCode","E609_EffectiveFromDate","E610_EffectiveToDate"
35,1055,"HEP",21858,"20190",56869,"201901","Bachelor of Laws and Bachelor of Arts (Asian Studies)",72285,90900,91500,"01/01/2005","NULL"
35,1055,"HEP",21881,"50210",56922,"502101","Bachelor of Health Science and Bachelor of Commerce or Economics",72341,61300,80000,"01/01/2005","NULL"
35,1055,"HEP",17149,"10450",43784,"104501","Master of Social Work - Preliminary",56557,90501,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17149,"10450",43784,"104501","Master of Social Work - Preliminary",56558,90501,0,"01/01/2007","NULL"
35,1055,"HEP",17171,"30410",43869,"304101IH","Master of Education - Preliminary",56680,50100,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17171,"30410",43869,"304101IH","Master of Education - Preliminary",56681,50100,0,"01/01/2007","NULL"
35,1055,"HEP",17184,"50410",43920,"504101EL","Master of Science - Preliminary",56751,20100,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17184,"50410",43920,"504101EL","Master of Science - Preliminary",56752,20100,0,"01/01/2007","NULL"
35,1055,"HEP",17185,"50420",44037,"504201","Master of Science Education - Preliminary",56915,79999,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17185,"50420",44037,"504201","Master of Science Education - Preliminary",56916,79999,0,"01/01/2007","NULL"
35,1055,"HEP",61445,"52362",114648,"523602","Graduate Diploma in Physics",182690,10301,0,"01/01/2015","NULL"
35,1055,"HEP",21847,"X-PROV UG",56574,"9000U1","Cross-Institution Undergraduate",71965,0,0,"01/01/2007","NULL"
35,1055,"HEP",21844,"40170",56724,"401701","Bachelor of Commerce and Bachelor of Laws",72133,90900,80000,"01/01/2005","NULL"
35,1055,"HEP",17121,"40420",43770,"404201EL","Master of Economics - Preliminary",56534,20100,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17121,"40420",43770,"404201EL","Master of Economics - Preliminary",56535,20100,0,"01/01/2007","NULL"
35,1055,"HEP",17121,"40420",43824,"404201GH","Master of Economics - Preliminary",56614,19900,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17121,"40420",43824,"404201GH","Master of Economics - Preliminary",56615,19900,0,"01/01/2007","NULL"
35,1055,"HEP",17191,"50580",43931,"505801","Master of Physical and Health Education - Coursework",56769,69903,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17191,"50580",43931,"505801","Master of Physical and Health Education - Coursework",56770,69903,0,"01/01/2007","NULL"
35,1055,"HEP",1468,"00410",8710,"004102IL","Doctor of Philosophy - Preliminary",200916,91901,0,"01/01/2005","31/12/2006"
35,1055,"HEP",1468,"00410",8710,"004102IL","Doctor of Philosophy - Preliminary",200917,91901,0,"01/01/2007","NULL"
35,1055,"HEP",1468,"00410",8735,"004102GL","Doctor of Philosophy - Preliminary",200926,61799,0,"01/01/2005","31/12/2006"
35,1055,"HEP",1468,"00410",8735,"004102GL","Doctor of Philosophy - Preliminary",200927,61799,0,"01/01/2007","NULL"
35,1055,"HEP",1472,"00830",8960,"008301AL","Doctor of Philosophy",200973,40100,0,"01/01/2005","31/12/2006"
35,1055,"HEP",24188,"30030",58096,"300302","Cross Institutional (Education) Murdoch",73657,0,0,"01/01/2005","31/12/2005"
35,1055,"HEP",24188,"30030",58096,"300302","Cross Institutional (Education) Murdoch",73658,0,0,"01/01/2006","NULL"
35,1055,"HEP",21851,"00850",56831,"008502","MBBS and Doctor of Philosophy - Research",72245,60101,60101,"01/01/2006","NULL"
35,1055,"HEP",21876,"41130",56881,"411301","Bachelor of Economics or Commerce and Bachelor of Education",72298,70100,80000,"01/01/2005","NULL"
35,1055,"HEP",21847,"X-PROV UG",56960,"6000U1","Cross-Institution Undergraduate",72381,0,0,"01/01/2007","NULL"
35,1055,"HEP",17125,"40530",43495,"405301","Master of Business Administration - Coursework",56106,80301,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17125,"40530",43495,"405301","Master of Business Administration - Coursework",56107,80301,0,"01/01/2007","NULL"
35,1055,"HEP",17121,"40420",43570,"404201IL","Master of Economics - Preliminary",56223,91901,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17121,"40420",43570,"404201IL","Master of Economics - Preliminary",56224,91901,0,"01/01/2007","NULL"
35,1055,"HEP",17165,"25420",43695,"254201","Master of Building Science - Preliminary",56421,40101,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17165,"25420",43695,"254201","Master of Building Science - Preliminary",56422,40101,0,"01/01/2007","NULL"
35,1055,"HEP",17172,"30420",44024,"304201","Master of Physical Education - Preliminary",56895,69903,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17172,"30420",44024,"304201","Master of Physical Education - Preliminary",56896,69903,0,"01/01/2007","NULL"
35,1055,"HEP",17193,"50610",44099,"506101IH","Master of Science - Dissertation & Coursework",56996,50100,0,"01/01/2005","31/12/2006"
35,1055,"HEP",1472,"00830",8960,"008301AL","Doctor of Philosophy",200974,40100,0,"01/01/2007","NULL"
35,1055,"HEP",1482,"10200",9067,"102002","Bachelor of Arts (Asian Studies)",201021,91500,0,"01/01/2005","31/12/2005"
35,1055,"HEP",1482,"10200",9067,"102002","Bachelor of Arts (Asian Studies)",201022,91500,0,"01/01/2006","NULL"
35,1055,"HEP",1493,"10710",9196,"107102IH","Master of Arts - Research",201065,90000,0,"01/01/2005","31/12/2006"
35,1055,"HEP",1493,"10710",9196,"107102IH","Master of Arts - Research",201066,50100,0,"01/01/2007","NULL"
35,1055,"HEP",1493,"10710",9321,"107102DH","Master of Arts - Research",201116,90701,0,"01/01/2005","31/12/2006"
35,1055,"HEP",1493,"10710",9321,"107102DH","Master of Arts - Research",201117,90701,0,"01/01/2007","NULL"
35,1055,"HEP",1494,"10720",9553,"107202","Master of Music - Research",201124,100101,0,"01/01/2005","31/12/2005"
35,1055,"HEP",1494,"10720",9553,"107202","Master of Music - Research",201125,100101,0,"01/01/2006","NULL"
35,1055,"HEP",21425,"X-PROV PG",9953,"2500P3","Cross-Institution Postgraduate",201228,0,0,"01/01/2005","31/12/2005"
35,1055,"HEP",21425,"X-PROV PG",9953,"2500P3","Cross-Institution Postgraduate",201229,0,0,"01/01/2006","NULL"
35,1055,"HEP",1540,"10930",10053,"109301","Doctor of Arts",201252,90000,0,"01/01/2005","31/12/2005"
35,1055,"HEP",1540,"10930",10053,"109301","Doctor of Arts",201253,90000,0,"01/01/2006","NULL"
