db_table,column,data_type,csv_file_name,mapping_column,sample_data,transformation_required,comments
commonwealth_scholarships,uid12_student_commonwealth_scholarships_res_key,VARCHAR(10),CommonwealthScholarships,UID12_StudentCommonwealthScholarshipsResKey,827,DIRECT_MAPPING,Primary Key - Unique identifier for commonwealth scholarship record
commonwealth_scholarships,student_id,BIGINT NOT NULL,CommonwealthScholarships,N/A,c3e8125cedb34e568c304c17d570d9d010bcc7dee7bd6cd8ef93f6980a236f02,FOREIGN_KEY_LOOKUP,Foreign key to hep_students table via student_id - Lookup student_id from hep_students using UID8_StudentsResKey where is_current is true
commonwealth_scholarships,e415_reporting_year,INTEGER,CommonwealthScholarships,E415_ReportingYear,2019,NULL_STRING_CONVERSION - convert other values to integers,Year of the scholarship reporting
commonwealth_scholarships,e666_reporting_period,INTEGER,CommonwealthScholarships,E666_ReportingPeriod,1,NULL_STRING_CONVERSION - convert other values to integers,Reporting period within the year (1 or 2)
commonwealth_scholarships,e545_commonwealth_scholarship_type,VARCHAR(1) NOT NULL,CommonwealthScholarships,E545_CommonwealthScholarshipType,A,DIRECT_MAPPING - Validate against CHECK constraint - NULL_STRING_CONVERSION,Type of commonwealth scholarship (A or B)
commonwealth_scholarships,e526_commonwealth_scholarship_status_code,INTEGER NOT NULL,CommonwealthScholarships,E526_CommonwealthScholarshipStatusCode,1,DIRECT_MAPPING - NULL_STRING_CONVERSION - convert other non integer values to integers - Validate against CHECK constraint,Status code of the scholarship (1|2|3|7)
commonwealth_scholarships,e598_commonwealth_scholarship_amount,"DECIMAL(10,2)'",CommonwealthScholarships,E598_CommonwealthScholarshipAmount,NULL,DECIMAL_CONVERSION,"Convert string ""NULL"" to actual NULL values - amounts like 1500.00 for active scholarships"
commonwealth_scholarships,e538_commonwealth_scholarship_termination_reason_code,VARCHAR(1),CommonwealthScholarships,E538_CommonwealthScholarshipTerminationReasonCode,NULL,NULL_STRING_CONVERSION,"Convert string ""NULL"" to actual NULL values - termination reason codes (4|5)"
commonwealth_scholarships,updated_at,TIMESTAMP,N/A,N/A,N/A,CURRENT_TIMESTAMP,Default current timestamp
