db_table,column,data_type,csv_file_name,mapping_column,sample_data,transformation_required,comments,consider_for_uniqueness
student_contacts_first_reported_address,first_address_id,BIGINT,N/A,N/A,N/A,IDENTITY_COLUMN,Auto-generated primary key,N
student_contacts_first_reported_address,student_id,BIGINT NOT NULL,StudentContactsFirstReportedAddress,N/A,486522b461a3fc7ea0d15baa7afa61cc543b63c59f9366f19450bac48a9c0344,FOREIGN_KEY_LOOKUP,Foreign key to hep_students table via student_id - Lookup student_id from hep_students using UID8_StudentsResKey where is_current is true,Y
student_contacts_first_reported_address,e787_first_residential_address_line1,VARCHAR(255),StudentContactsFirstReportedAddress,E787_FirstResidentialAddressLine1,dda13fc4dc0efe128659391de06b92ad40a7b98b093b4fb6ca3cf26207cc30d4,DIRECT_MAPPING,First residential address line 1,Y
student_contacts_first_reported_address,e789_first_residential_address_suburb,VARCHAR(48),StudentContactsFirstReportedAddress,E789_FirstResidentialAddressSuburb,0eb38854f03e11b40b90bf90984d73e9a2e36811a4f11fdbcfc4ec225d1b065f,DIRECT_MAPPING,First residential address suburb,Y
student_contacts_first_reported_address,e791_first_residential_address_state,VARCHAR(3),StudentContactsFirstReportedAddress,E791_FirstResidentialAddressState,0de54b0f388136005ff50ee938913e076b55c4ae73e251ec6e92b41ac84cd4bc,DIRECT_MAPPING,First residential address state,Y
student_contacts_first_reported_address,e659_first_residential_address_country_code,VARCHAR(4),StudentContactsFirstReportedAddress,E659_FirstResidentialAddressCountryCode,4cbf53c41b801b808e61497ec0e20aa67a4af4f8a2a1e0e685172cffb460058d,DIRECT_MAPPING,First residential address country code,Y
student_contacts_first_reported_address,e790_first_residential_address_postcode,VARCHAR(4),StudentContactsFirstReportedAddress,E790_FirstResidentialAddressPostcode,e5bfd6d95a1b66bb9865d0d8e4756c4c24fe797fab6cba17b417ff53312858d8,DIRECT_MAPPING,First residential address postcode,Y
student_contacts_first_reported_address,updated_at,TIMESTAMP,N/A,N/A,N/A,CURRENT_TIMESTAMP,Default current timestamp,N
